,market,funds,shares,mutual,deposit,stock,stocks,trade,trades,bond,capital,interest,credit,balance,loan,statements,debt,gross,flow,retirement,pension,grocery,strength,join,food,farm,territory,like,attention,notice,money,currency,finance,investor,investment,monetary,asset,profit,cash,accrual
market,1.0000000000000002,0.5263143247768588,0.5057133655101421,0.35587379667036706,0.42854433070002185,0.6883837786918644,0.6473086585458158,0.5491891286057837,0.6395540530770005,0.5415919469395094,0.4782146028083703,0.4988504558283866,0.4682057376167796,0.38665180132856813,0.40406685590146957,0.32460698426647633,0.4914076414982938,0.3395196972127459,0.3710372653834551,0.3616452664587319,0.34101541731508034,0.5231481747121681,0.5687656723980608,0.34870959028194676,0.5111940715179076,0.4250672095579125,0.441720263056008,0.43165271946118366,0.4367211804935371,0.3840132469000133,0.5121357310708197,0.6437775273704586,0.4045424937455126,0.4057964884677489,0.5962573541248997,0.46147201665189885,0.5568057354154288,0.4066298120142628,0.3820141319665905,0.21411975732653116
funds,0.5263143247768588,1.0,0.46098726143125385,0.6336707819028485,0.4945983682233893,0.5120198735065138,0.4720706161074981,0.3603867247258064,0.5771647738489456,0.5668898525188503,0.593495705332437,0.5538376889100918,0.5409474956181839,0.4877104020910095,0.504554907876917,0.33740086394492386,0.6415369849101039,0.41065701563523527,0.5509927800021289,0.5194767527050728,0.5970126121794895,0.29447076595222527,0.3881490239797192,0.3380641708971698,0.34883715720077135,0.3760669873361819,0.30972581243060504,0.36276853451883206,0.46198886259621347,0.45078147725163215,0.757366002407602,0.4757038931418873,0.47865417654651526,0.3953665723946114,0.7308365383265832,0.40942858890093886,0.6068665309141753,0.38524230595040554,0.5906271897054799,0.3002833767330748
shares,0.5057133655101421,0.46098726143125385,0.9999999999999998,0.34825827870877113,0.25012901277124505,0.8516542255979738,0.6171027232487556,0.3632389165779505,0.5702364440513236,0.4802220701997166,0.3856458212199238,0.42199491177892623,0.33759869368938783,0.3599007586188911,0.31344779607125767,0.344018577862639,0.45837533944910375,0.39325643870723964,0.32463947851578806,0.3318412438201967,0.3129245185363202,0.30477065869643044,0.35098790713129246,0.3123951034539857,0.3183723634525403,0.14332692332458424,0.3195071153329187,0.3137236541541016,0.30702594993128807,0.43784764201887727,0.38680993268217606,0.34386219618257374,0.2730860954043926,0.4045114505611725,0.37427828322861134,0.16822806860408898,0.38412239439895624,0.4606432434858494,0.40115550524941146,0.25063694194549135
mutual,0.35587379667036706,0.6336707819028485,0.34825827870877113,0.9999999999999998,0.42045876116968467,0.33800612532717095,0.27820516992687033,0.4283445589954647,0.42187815732279765,0.43008378356519394,0.33488989110156436,0.465232240754437,0.4557641853514363,0.4227187988523219,0.4160874466992922,0.23408731275625944,0.42103934417203226,0.31866303404469754,0.32605771805356776,0.4939445647092711,0.46162528603263125,0.33056823389355416,0.3876312454085107,0.3882273278866985,0.33063158661458064,0.2991629192367315,0.351312422601653,0.3541424560652737,0.46319659482886844,0.42231605389763105,0.4865338192954929,0.30327653094538787,0.35957555001614233,0.36012923682224535,0.5593550987969846,0.3399161541734624,0.47486393511851255,0.26716134090227917,0.35566494120004977,0.2414056983660614
deposit,0.42854433070002185,0.4945983682233893,0.25012901277124505,0.42045876116968467,1.0,0.2875042019067574,0.24379338902807499,0.2654735000225547,0.36303085010436514,0.42140092298928633,0.36473424811622784,0.5615254331124739,0.5102679393468853,0.4529310313615946,0.6744970508472051,0.2516423923723787,0.45368401377375994,0.43704542372690175,0.38322515553539604,0.364262819875472,0.3750138298537567,0.20804968465156357,0.3847416488312797,0.15505859069064298,0.23404626307868057,0.3632035654105519,0.2510041600824114,0.23658943897564383,0.21697565348899184,0.2808785271323758,0.4566846009822808,0.4345258805889393,0.39842565569368565,0.20839081281493094,0.4462914657423284,0.3705953115775229,0.5278170999022014,0.29975765228029455,0.4448909250795027,0.40496923575315275
stock,0.6883837786918644,0.5120198735065138,0.8516542255979738,0.33800612532717095,0.2875042019067574,1.0,0.6441684693086082,0.4525447852644456,0.681852014789247,0.5317496386186351,0.4620805070189733,0.4602669938139947,0.4427326143842723,0.3679903630562386,0.34831874956510583,0.31275180003923925,0.5464409888164714,0.2927151484623614,0.36356128045036906,0.4231479234398087,0.3937719448709387,0.30866720398176906,0.3503103483802962,0.27009807993772167,0.3422011812288801,0.25935338557051507,0.3359632933706253,0.3565559229997814,0.35886731097629027,0.4430003300688535,0.44704709674462106,0.45884805227245473,0.3105275078788686,0.3606348185859368,0.4388854370507738,0.2934548178731274,0.4711602156345947,0.3716737905099491,0.4643060622053424,0.3150396369479518
stocks,0.6473086585458158,0.4720706161074981,0.6171027232487556,0.27820516992687033,0.24379338902807499,0.6441684693086082,0.9999999999999999,0.4881404457426529,0.6029958653929343,0.6084988275054183,0.292312597507255,0.35523638228520305,0.3426346554481334,0.25962126725849966,0.25873006195538456,0.1966163623613398,0.34462407640187637,0.2324736253437168,0.25266469005967185,0.32221069183259393,0.2854161248775508,0.39498673024454484,0.4698157802572573,0.3089522319021741,0.39472130416983403,0.2600498492821695,0.45914725428648945,0.4955537910119247,0.326352140495128,0.3407444810305928,0.46115067488799444,0.4833878909444317,0.2953538707958949,0.3795965026615832,0.45802585480905483,0.3225816934338239,0.4517589366335408,0.40723573482797243,0.2351261138053369,0.11050284063706109
trade,0.5491891286057837,0.3603867247258064,0.3632389165779505,0.4283445589954647,0.2654735000225547,0.4525447852644456,0.4881404457426529,0.9999999999999998,0.5286519562296995,0.4189498791187957,0.2364227145762794,0.39576832906901616,0.3133966305859729,0.3587016851943592,0.31557276099181414,0.23299354522778581,0.3904685343827985,0.2574287309638516,0.28569376257363566,0.3011356485918919,0.2810918014383906,0.3073124895143291,0.31306983874886096,0.36001646714121843,0.400857306819087,0.42441672139012276,0.34967122754804714,0.38050473991700334,0.31681758550685074,0.3576000928765918,0.37642041790058384,0.5039079228889184,0.45589903311374796,0.3853818208872629,0.42435513788850404,0.364026514254176,0.36229421367201453,0.3355343167244518,0.29742584698762925,0.1824965704902032
trades,0.6395540530770005,0.5771647738489456,0.5702364440513236,0.42187815732279765,0.36303085010436514,0.681852014789247,0.6029958653929343,0.5286519562296995,1.0000000000000004,0.5190804729314722,0.414079885361228,0.3808415118338033,0.3994064558635317,0.36190909045373265,0.35634854304387426,0.28631074886854196,0.41609871353760236,0.19361051868607776,0.32990878137205726,0.3283073734606565,0.35825282977887046,0.4189555481224797,0.2812082330589641,0.31410052572629327,0.3952501656535794,0.27071792455687366,0.3528912114931507,0.47465819807160836,0.3560926629418895,0.4866328226095409,0.5021852964417504,0.49118532961904365,0.3166804520126482,0.2639972304915507,0.47319129754116734,0.35707050354265085,0.4553762084133944,0.2366543348418926,0.37992175621401575,0.15189315411712362
bond,0.5415919469395094,0.5668898525188503,0.4802220701997166,0.43008378356519394,0.42140092298928633,0.5317496386186351,0.6084988275054183,0.4189498791187957,0.5190804729314722,0.9999999999999999,0.3551959282782916,0.5292424373163535,0.4965658838213117,0.3948413120081029,0.4905354368371554,0.1665102364189486,0.6182263277934247,0.312891550801978,0.3376748428719114,0.3127874574488987,0.29554429101906937,0.33203924352592984,0.4376242120073154,0.2576824767343883,0.29870540275461394,0.24239085297215007,0.35424506751354695,0.3793148077089061,0.4085007293371996,0.3790658837012383,0.5211012969267359,0.5665923053522802,0.43707376045112056,0.31867832234903104,0.4822415634255369,0.4526727301219381,0.4383251186038559,0.3326704505077709,0.34573142482988145,0.20955285348002262
