word	category
happy	emotion
sad	emotion
joy	emotion
glad	emotion
annoyed	emotion
trump	politics
democrat	politics
democrats	politics
republican	politics
republicans	politics
white	color
black	color
frog	animal
cat	animal
dog	animal
lion	animal
tiger	animal
turkey	place
germany	place
china	place
india	place
russia	place
putin	politics
clinton	politics
pandas	animal
australia	place
sydney	place
delhi	place
mumbai	place
york	place
washington	place
unhappy	emotion
depressed	emotion
dismal	emotion
merry	emotion
green	color
blue	color
yellow	color
