word	category
money	pure
currency	pure
finance	pure
market	mix
grocery	normal
funds	mix
shares	mix
mutual	mix
deposit	mix
stock	mix
stocks	mix
investor	pure
investment	pure
trade	mix
trades	mix
bond	mix
strength	normal
join	normal
food	normal
farm	normal
capital	mix
territory	normal
interest	mix
like	normal
attention	normal
notice	normal
monetary	pure
credit	mix
asset	pure
balance	mix
profit	pure
loan	mix
statements	mix
debt	mix
gross	mix
flow	mix
cash	pure
accrual	pure
retirement	mix
pension	mix
